Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
23;Arbeitskreis deutscher Bildungsstätten - Unabhängige Institutionen für politische Bildung und Jugendarbeit;Demokratie-Profis in Ausbildung! Politische Bildung mit Kindern;2023: 223.855,55 € 2024: 198.592,70 € Gesamt: 422.448,25 €;01.01.2020 - 31.12.2024;Demokratieförderung
24;Archiv der Jugendkulturen e.V.;sUPpress - Medienkompetenz für Engagement und Selbstwirksamkeit;2023: 226.500,00 € 2024: 215.000,00 € Gesamt: 441.500,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
25;Bezirksamt Tempelhof- Schöneberg von Berlin;Discover History - Act now! Ein Modellprojekt des Jugend Museums zum demokratischen Handeln;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
26;Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD);Der Teilhabe-Rabe und die Schatzkiste frühkindlicher Demokratieerfahrungen;2023: 153.000,00 € 2024: 168.751,13 € Gesamt: 321.751,13 €;07.02.2020 - 31.12.2024;Demokratieförderung
27;Datteltäter e.V.;Datteltäter Akademie;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
28;Deutscher Kinderschutzbund Landesverband Thüringen e.V.;#Kinderrechte digital leben!;2023: 145.839,70 € 2024: 145.221,39 € Gesamt: 291.061,09 €;01.01.2020 - 31.12.2024;Demokratieförderung
29;DGB-Jugendbildungsstätte Flecken Zechlin gGmbH;Organize - für Mitbestimmung vor Ort;2023: 199.996,08 € 2024: 199.968,09 € Gesamt: 399.964,17 €;15.03.2020 - 31.12.2024;Demokratieförderung
30;Diakonie Stetten e.V.;STARK in Demokratie;2023: 189.444,90 € 2024: 193.736,60 € Gesamt: 383.181,50 €;01.01.2020 - 31.12.2024;Demokratieförderung
31;Die Rederei gemeinnützige UG (haftungsbeschränkt);Fakt oder Fake?;2023: 175.000,00 € 2024: 175.000,00 € Gesamt: 350.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
32;Diskutier Mit Mir e.V.;Diskutier Mit Mir - Demokratieförderung durch digitalen Dialog;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
33;Evangelischer Kirchenkreis Hanau;Demokratieförderung von marginalisierten Jugendlichen und jungen Erwachsenen;2023: 128.513,56 € 2024: 135.754,00 € Gesamt: 264.267,56 €;01.11.2021 - 31.12.2024;Demokratieförderung
34;Forum B : Prozesse in Begleitung e.V.;DAS geht! Demokratie und Antidiskriminierung in der Ausbildung Sozialer Berufe;2023: 149.233,91 € 2024: 150.928,92 € Gesamt: 300.162,83 €;01.01.2020 - 31.12.2024;Demokratieförderung
35;Freiwilligenagentur Halle- Saalkreis e.V. - Verein zur Förderung bürgerschaftlichen Engagements in der Region Halle;MitWirkung! - Vielfalt lernen, Perspektiven wechseln, Demokratie erleben;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
36;Gesicht Zeigen! Für ein weltoffenes Deutschland e.V.;You move democracy - das mobile Demokratielabor;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;15.03.2020 - 31.12.2024;Demokratieförderung
37;Haus Neuland e. V.;Die Kita als Lernort für Demokratie - Partizipation und Selbstbestimmung von Anfang an;2023: 133.084,32 € 2024: 171.411,40 € Gesamt: 304.495,72 €;01.01.2020 - 31.12.2024;Demokratieförderung
38;Institut für Neue Soziale Plastik (Berlin) e.V.;Echolot - Zivilgesellschaft gegen mOK;2023: 197.788,00 € 2024: 195.797,47 € Gesamt: 393.585,47 €;19.07.2021 - 31.12.2024;Demokratieförderung
39;Internationale Akademie Berlin für innovative Pädagogik, Psychologie und Ökonomie gGmbH (INA);Demokratie und Antidiskriminierung in der Grundschule am Beispiel der Hortbetreuung;2023: 183.181,42 € 2024: 190.888,73 € Gesamt: 374.070,15 €;01.08.2021 - 31.12.2024;Demokratieförderung
40;IRP Gesellschaft für Restorative Praktiken gemeinnützige UG (haftungsbeschränkt);Mit Restorativen Praktiken ein positives und sicheres Schulklima fördern.;2023: 190.710,14 € 2024: 197.425,72 € Gesamt: 388.135,86 €;01.08.2021 - 31.12.2024;Demokratieförderung
41;Jugendbildungsstätte Bremen Lidice-Haus Gemeinnützige Gesellschaft mit beschränkter Haftung;#future_fabric: demokratie.digital.denken;2023: 173.449,34 € 2024: 182.802,71 € Gesamt: 356.252,05 €;01.01.2020 - 31.12.2024;Demokratieförderung
42;Jugendbildungsstätte Kurt Löwenstein e.V.;Interessiert's Dich? #3D: Debatte - Dialog - Demokratie;2023: 195.000,00 € 2024: 197.000,00 € Gesamt: 392.000,00 €;01.04.2020 - 31.12.2024;Demokratieförderung
43;Kreisjugendring Dachau des Bayerischen Jugendrings;Modellprojekt Demokratische Schule;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
44;Kreisjugendring Herzogtum Lauenburg e.V.;Aktivieren. Engagieren. Mitbestimmen - Fit für Beteiligung;2023: 115.200,00 € 2024: 82.600,00 € Gesamt: 197.800,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
45;KulturLeben Dresden UG (haftungsbeschränkt);Demokratie ganztags;2023: 163.369,45 € 2024: 193.320,38 € Gesamt: 356.689,83 €;02.03.2020 - 31.12.2024;Demokratieförderung
46;Landesjugendpfarramt der Ev. Kirche Pfalz;Ländlichen Raum gestalten: Die Dorfraum-Entwickler - partizipative Kinder- und Jugendarbeit vor Ort;2023: 184.633,28 € 2024: 200.000,00 € Gesamt: 384.633,28 €;16.03.2020 - 31.12.2024;Demokratieförderung
47;Landesjugendring Thüringen e.V.;JUGEND PRÄGT;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.04.2020 - 31.12.2024;Demokratieförderung
48;mitMachen e.V.;Jugendbeteiligung bei Bürgerbudgets;2023: 188.442,00 € 2024: 188.512,52 € Gesamt: 376.954,52 €;01.01.2020 - 31.12.2024;Demokratieförderung
49;RAA Hoyerswerda/Ostsachsen Regionale Arbeitsstelle für Bildung, Demokratie und Lebensperspektiven e.V.;Gemeinsam mehr erreichen! Ressourcenorientierte Elternaktivierung zur Stärkung kindlicher Kompetenzen und eines demokratischen Gemeinwesens;2023: 178.813,71 € 2024: 193.154,54 € Gesamt: 371.968,25 €;01.01.2020 - 31.12.2024;Demokratieförderung
50;Soziale Bildung e.V.;Hortdialoge & Beteiligung - demokratiestärkende Bildungsarbeit im Hortalltag;2023: 166.953,46 € 2024: 169.432,46 € Gesamt: 336.385,92 €;01.01.2020 - 31.12.2024;Demokratieförderung
51;TGD-Türkische Gemeinde in Deutschland-Almanya Türk Toplumu e.V.;Muslimisch gelesene Vielfalt im Gespräch;2023: 199.999,70 € 2024: 199.999,70 € Gesamt: 399.999,40 €;01.01.2020 - 31.12.2024;Demokratieförderung
52;180 Grad Wende e.V.;180° Wende-Punkt;2023: 200.000,00 € 2024: 197.179,43 € Gesamt: 397.179,43 €;01.01.2020 - 31.12.2024;Extremismusprävention
53;180 Grad Wende e.V.;180° Wende Keepers A(ction);2023: 198.484,29 € 2024: 198.578,98 € Gesamt: 397.063,27 €;01.01.2020 - 31.12.2024;Extremismusprävention
54;Amadeu Antonio Stiftung;Good Gaming - Well Played Democracy;2023: 207.228,37 € 2024: 198.000,00 € Gesamt: 405.228,37 €;01.01.2020 - 31.12.2024;Extremismusprävention
55;AVP Akzeptanz-Vertrauen- Perspektive;Local Streetwork - Offline/Online;2023: 197.687,00 € 2024: 197.687,00 € Gesamt: 395.374,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
56;Backup-Comeback e.V. Couragiert Demokratie stärken!;U-Turn - Wege aus dem Rechtsextremismus und der Gewalt: Beratung, Begleitung, Prävention;2023: 199.890,00 € 2024: 199.890,00 € Gesamt: 399.780,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
57;Berghof Foundation Operations gGmbH;#vrschwrng - Ein interaktives Toolkit gegen Verschwörungstheorien;2023: 220.131,45 € 2024: 199.838,57 € Gesamt: 419.970,02 €;01.01.2020 - 31.12.2024;Extremismusprävention
58;Bildungsstätte Anne Frank;The Game is not Over - ein Serious Game zu Verschwörungstheorien und Radikalisierung;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
59;Bildungsstätte Anne Frank;Radikale Reflexion. Nachhaltige Präventionsstrategien gegen vereinfachte Weltbilder und Antisemitismus in der extremen Linken;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;25.05.2020 - 31.12.2024;Extremismusprävention
60;"Bundesarbeitsgemeinschaft ""Ausstieg zum Einstieg"" e.V.";AIDA rex - Akademie für Innovationen in der Distanzierungs- und Ausstiegsarbeit aus der extremen Rechten;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;19.07.2021 - 31.12.2024;Extremismusprävention
61;"Bundesarbeitsgemeinschaft ""Ausstieg zum Einstieg"" e.V.";FED rex - Fortbildung zu Einstiegsprävention und Distanzierungsförderung im Themenfeld Rechtsextremismus;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
62;Bündnis der Islamischen Gemeinden in Norddeutschland e.V.;KAMIL 2.0;2023: 222.756,94 € 2024: 222.756,94 € Gesamt: 445.513,88 €;01.01.2020 - 31.12.2024;Extremismusprävention
63;Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD);"Prisma - Medienpädagogische Interventionen im Feld der ""Neuen Rechten""";2023: 195.942,34 € 2024: 183.029,36 € Gesamt: 378.971,70 €;01.01.2020 - 31.12.2024;Extremismusprävention
64;Das Progressive Zentrum e.V.;Kollekt;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;19.07.2021 - 31.12.2024;Extremismusprävention
65;Distanz - Distanzierungsarbeit, jugendkulturelle Bildung und Beratung e.V.;D-Netz: Netzwerke der Distanzierungsarbeit und Trainings mit rechtsextrem gefährdeten und - orientierten Jugendlichen;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
66;Drudel 11 e.V.;CLICK! Digitale Trainings zur Rechtsextremismusprävention;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
67;Förderverein Ökologische Freiwilligendienste e.V. (FÖF);Mensch.Natur.Gesellschaft. Ökologisches Engagement für Demokratie & Rechtsstaatlichkeit;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
68;Gedenkstätte Berlin- Hohenschönhausen;Linken Extremismus überzeugend kontern können - Schulung im Umgang mit gefährdeten Jugendlichen;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
69;Grenzenlos-Multikulturelles Zentrum Dessau e.V.;#unserhayat - unser Leben. Sozialraum- und lebensweltorientierte Arbeit mit Jugendlichen mit Fluchthintergrund im Einflussbereich extremistischer Ansprachen;2023: 200.000,00 € 2024: 0,00 € Gesamt: 200.000,00 €;01.01.2020 - 31.03.2023;Extremismusprävention
70;Hallesche Jugendwerkstatt gemeinnützige GmbH;#unserhayat- unser Leben. Sozialraum- und lebensweltorientierte Arbeit mit Jugendlichen mit Fluchthintergrund im Einflussbereich extremistischer Ansprachen;2023: 153.824,63 € 2024: 200.000,00 € Gesamt: 353.824,63 €;01.04.2023 - 31.12.2024;Extremismusprävention
71;IcanDo - Verein für Spiel, Sport und Soziale Arbeit e.V.;Vollkontakt - Demokratie und Kampfsport;2023: 179.997,83 € 2024: 179.807,49 € Gesamt: 359.805,32 €;01.01.2020 - 31.12.2024;Extremismusprävention
72;IFAK e.V.-Verein für multikulturelle Kinder- und Jugendhilfe-Migrationsarbeit;ExPO - Extremismus Prävention Online;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
73;ifgg - Privatinstitut für genderreflektierte Gewaltprävention gGmbH;inside-out;2023: 197.293,37 € 2024: 197.926,12 € Gesamt: 395.219,49 €;15.03.2020 - 31.12.2024;Extremismusprävention
74;Institut für Bildung, Beratung, Begleitung e.V.;Gute Gewalt - Schlechte Gewalt? - Legitimationen linker Militanz;2023: 198.946,58 € 2024: 198.601,40 € Gesamt: 397.547,98 €;01.07.2021 - 31.12.2024;Extremismusprävention
75;KARUNA Sozialgenossenschaft eG.;RadikalDemokratisch;2023: 197.416,42 € 2024: 197.990,46 € Gesamt: 395.406,88 €;01.01.2020 - 31.12.2024;Extremismusprävention
76;Landesarbeitsgemeinschaft Mobile Jugendarbeit/Streetwork Baden-Württemberg (LAG Mobile Jugendarbeit/Streetwork) e.V.;Radikalisierungsprävention in Wissenschaft und Praxis - Ein Transfermodell;2023: 101.447,89 € 2024: 105.017,08 € Gesamt: 206.464,97 €;01.04.2020 - 31.12.2024;Extremismusprävention
77;Landesarbeitskreis Mobile Jugendarbeit Sachsen e.V.;ReMoDe - Regional und Mobil für Demokratie;2023: 179.980,23 € 2024: 178.120,30 € Gesamt: 358.100,53 €;01.01.2020 - 31.12.2024;Extremismusprävention
78;Landkreis Göttingen;stay#dorfkind;2023: 161.814,84 € 2024: 164.232,79 € Gesamt: 326.047,63 €;01.01.2020 - 31.12.2024;Extremismusprävention
79;Mannheimer Institut für Integration und interreligiöse Arbeit;Jumed im Einsatz;2023: 126.120,00 € 2024: 128.770,00 € Gesamt: 254.890,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
80;Miteinander - Netzwerk für Demokratie und Weltoffenheit in Sachsen-Anhalt e.V.;Landheld*innen. Für eine demokratische Alltagskultur in der Nachbarschaft.;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
81;Modus - Zentrum für angewandte Deradikalisierungsforschung gGmbH;Level Up! - Mehr Impact bei Online- Interventionen;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.09.2021 - 31.12.2024;Extremismusprävention
82;NaturFreunde Deutschlands e.V. zusammen mit der Naturfreundejugend Deutschlands;NaturSchutzRaum - Rechtsextremismusprävention im Natur- und Umweltschutz;2023: 199.924,00 € 2024: 199.980,00 € Gesamt: 399.904,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
83;Sozialistisches Bildungszentrum Haard e.V. (SBZ) - Salvador- Allende-Haus;#kopfeinschalten - Kritisch gegen Verschwörungsdenken;2023: 175.715,82 € 2024: 146.439,85 € Gesamt: 322.155,67 €;01.02.2020 - 31.12.2024;Extremismusprävention
84;Stiftung Sozialpädagogisches Institut Berlin - Walter May;F.A.N. Berlin-Brandenburg - für Demokratie, Recht und Freiheit;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
85;Türkische Gemeinde in Baden- Württemberg e.V.;Einmal Brainwash und zurück - Verschwörungsmythen erleben;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Extremismusprävention
86;Violence Prevention Network gGmbH;REE! - Kurswechsel für Rechtsextremist*innen;2023: 199.800,00 € 2024: 218.403,56 € Gesamt: 418.203,56 €;15.03.2020 - 31.12.2024;Extremismusprävention
87;Waldritter e.V.;Aktiv gegen Rechts;2023: 213.770,16 € 2024: 200.000,00 € Gesamt: 413.770,16 €;01.01.2020 - 31.12.2024;Extremismusprävention
88;Amadeu Antonio Stiftung;Trans*feindlichkeit: Kontexte, aktuelle Dynamiken und Auswirkungen;2023: 0,00 € 2024: 228.833,62 € Gesamt: 228.833,62 €;01.10.2023 - 31.12.2024;Forschungsvorhaben
89;Camino - Werkstatt für Fortbildung, Praxisbegleitung und Forschung im sozialen Bereich - gGmbH;Fokusstudien zu Antifeminismus;2023: 113.082,15 € 2024: 112.038,16 € Gesamt: 225.120,31 €;01.01.2023 - 31.12.2024;Forschungsvorhaben
90;Deutsches Jugendinstitut e.V.;"Forschungsprojekt: ""Arbeits- und Forschungsstelle Demokratieförderung und Extremismusprävention""";2023: 632.621,03 € 2024: 657.076,86 € Gesamt: 1.289.697,89 €;01.01.2020 - 31.12.2024;Forschungsvorhaben
91;Deutsches Jugendinstitut e.V.;Ermittlung von Bedarfslagen im Bereich Demokratieförderung und Extremismusprävention;2023: 468.136,58 € 2024: 268.612,52 € Gesamt: 736.749,10 €;25.11.2022 - 31.12.2024;Forschungsvorhaben
92;Deutsches Jugendinstitut e.V.;Demokratiebildung im Ganztag;2023: 265.450,95 € 2024: 342.980,07 € Gesamt: 608.431,02 €;10.02.2023 - 31.12.2024;Forschungsvorhaben
93;Deutsches Zentrum für Integrations- und Migrationsforschung e.V.;Bedarfe der Regelsysteme und bedrohter zivilgesellschaftlicher Organisationen im Bereich der 'Vielfaltgestaltung';2023: 123.031,82 € 2024: 0,00 € Gesamt: 123.031,82 €;01.11.2022 - 31.12.2023;Forschungsvorhaben
94;Hochschule Magdeburg-Stendal;"Forschungsprojekt: ""Rechtsextremismus in ökologischen Transformationsräumen: Diskursangebote, Resonanzwege und demokratische Alternativen (RIOET)""";2023: 214.215,02 € 2024: 203.005,00 € Gesamt: 417.220,02 €;01.10.2022 - 31.12.2024;Forschungsvorhaben
95;Hochschule Merseburg Fachbereich Soziale Arbeit.Medien.Kultur;Aktuelle Herausforderungen für die Arbeit im Strafvollzug: die Situation junger Frauen, der Umgang mit ideologisierten 'Kadern' und das Übergangsmanagement (Sijuk);2023: 118.124,96 € 2024: 0,00 € Gesamt: 118.124,96 €;01.07.2023 - 31.12.2023;Forschungsvorhaben
96;International Centre for Socio- Legal Studies gGmbH;Ermittlung von Bedarfslagen im Bereich Demokratieförderung und Extremismusprävention;2023: 74.374,69 € 2024: 48.501,17 € Gesamt: 122.875,86 €;01.01.2023 - 31.12.2024;Forschungsvorhaben
97;Diskutier Mit Mir e.V.;Our Story - Ich bin (k)ein Zeitzeuge.;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
98;Adolf Bender Zentrum e.V. Verein zur Förderung demokratischer Traditionen e.V.;Jung.Engagiert.Bedroht? Hass und Hetze gehen uns alle an!;2023: 40.432,17 € 2024: 52.675,88 € Gesamt: 93.108,05 €;01.03.2023 - 31.12.2024;Innovationsfonds
99;Aktion Zivilcourage e.V.;JuDiO - Junger Dialog in Ostdeutschland;2023: 73.789,11 € 2024: 89.275,22 € Gesamt: 163.064,33 €;01.03.2023 - 31.12.2024;Innovationsfonds
100;Alternatives Jugenprojekt 1260 e.V.;GeQe MOL - Geschlechterreflektiert und Queer in Märkisch Oderland;2023: 43.951,11 € 2024: 0,00 € Gesamt: 43.951,11 €;01.03.2023 - 31.12.2024;Innovationsfonds
101;anDemos e.V. - Institut für angewandte Demokratie- und Sozialforschung;Comic kontrovers (Cokon);2023: 31.495,08 € 2024: 26.784,81 € Gesamt: 58.279,89 €;01.03.2023 - 31.08.2024;Innovationsfonds
102;Arbeit und Leben Thüringen e.V.;Den Hut setze ich mir nicht auf - Projekttage und Medienarbeit gegen Verschwörungsdenken im familären Umfeld;2023: 98.927,68 € 2024: 99.997,96 € Gesamt: 198.925,64 €;01.03.2023 - 31.12.2024;Innovationsfonds
103;Arbeitsgemeinschaft Jugend und Bildung (AJB eV);Verschwörungs-Therapie;2023: 96.404,27 € 2024: 96.207,24 € Gesamt: 192.611,51 €;;01.03.2023 - 31.08.2024
104;Arbeitsgemeinschaft Jugendfreizeitstätten Württemberg e.V. (AGJF Württemberg);Baden- Baden-;DEMO - Demokratielernen, Empowerment und Mitgestaltung in der Offenen Kinder- und Jugendarbeit;2023: 50.000,00 € 2024: 50.000,00 € Gesamt: 100.000,00 €;01.03.2023 - 31.12.2024
105;Arbeitsgemeinschaft Jugendfreizeitstätten Freistaat Sachsen e.V. (AGJF);Raum nehmen - Interventionen für demokratisch-kontroverse Lebenswelten;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
106;Arbeitskreis deutscher Bildungsstätten - Unabhängige Institutionen für politische Bildung und Jugendarbeit;Koordinaten verschieben - Perspektiven erweitern. Diversitätsorientierte und rassismuskritische Organisationsentwicklung im AdB;2023: 99.300,00 € 2024: 99.812,29 € Gesamt: 199.112,29 €;01.03.2023 - 31.12.2024;Innovationsfonds
107;Berghof Foundation gGmbH;Operations;Digitale.Wahrheiten;2023: 99.000,00 € 2024: 99.000,00 € Gesamt: 198.000,00 €;01.03.2023 - 31.12.2024
108;betterplace lab gemeinnützige GmbH;Systemischer Umgang mit Desinformation;2023: 88.015,57 € 2024: 99.991,31 € Gesamt: 188.006,88 €;01.03.2023 - 31.12.2024;Innovationsfonds
109;BildungsBausteine e.V.;Zusammen_denken, zusammen handeln - Spannungsfelder der antisemitismus- und rassismuskritischen Bildung konstruktiv bearbeiten;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
110;Bildungsstätte Anne Frank;Identitäten ver_lernen: Vielheit verhandeln;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
111;Bildungsvereinigung Arbeit und Leben Niedersachsen Nord gGmbH;AudReAction - Empowerment.Räume schreibend schaffen;2023: 72.078,02 € 2024: 90.317,24 € Gesamt: 162.395,26 €;01.03.2023 - 31.12.2024;Innovationsfonds
